,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
0,0.0,0.02,0.17,0.37,0.29,0.12,0.02
1,0.0,0.04,0.21,0.38,0.26,0.09,0.01
2,0.0,0.02,0.16,0.38,0.3,0.12,0.02
3,0.0,0.03,0.21,0.4,0.25,0.09,0.01
4,0.0,0.02,0.17,0.35,0.29,0.14,0.03
5,0.0,0.02,0.08,0.16,0.26,0.33,0.14
6,0.01,0.05,0.2,0.35,0.28,0.1,0.01
7,0.02,0.11,0.34,0.32,0.15,0.06,0.01
8,0.0,0.07,0.26,0.35,0.2,0.1,0.03
9,0.0,0.01,0.13,0.34,0.34,0.15,0.02
10,0.0,0.05,0.32,0.4,0.17,0.04,0.0
11,0.01,0.1,0.47,0.32,0.09,0.02,0.0
12,0.06,0.14,0.33,0.27,0.13,0.05,0.01
13,0.0,0.08,0.28,0.3,0.2,0.11,0.03
14,0.0,0.07,0.39,0.38,0.13,0.03,0.0
15,0.0,0.07,0.27,0.35,0.22,0.08,0.01
16,0.0,0.03,0.2,0.39,0.27,0.1,0.01
17,0.0,0.06,0.31,0.38,0.19,0.05,0.0
18,0.0,0.05,0.28,0.38,0.22,0.07,0.01
19,0.01,0.07,0.24,0.32,0.24,0.11,0.01
20,0.0,0.03,0.18,0.43,0.27,0.08,0.01
21,0.0,0.1,0.36,0.35,0.14,0.03,0.0
22,0.0,0.03,0.19,0.33,0.26,0.14,0.03
23,0.0,0.06,0.29,0.34,0.21,0.08,0.02
24,0.0,0.06,0.22,0.33,0.24,0.12,0.03
25,0.0,0.02,0.1,0.25,0.36,0.23,0.04
26,0.02,0.17,0.32,0.29,0.15,0.05,0.01
27,0.0,0.04,0.35,0.36,0.17,0.06,0.01
28,0.0,0.06,0.3,0.33,0.19,0.09,0.02
29,0.0,0.02,0.11,0.35,0.36,0.14,0.02
30,0.0,0.06,0.3,0.33,0.19,0.1,0.02
31,0.0,0.03,0.19,0.35,0.29,0.13,0.02
32,0.0,0.1,0.38,0.35,0.13,0.03,0.0
33,0.0,0.06,0.28,0.39,0.19,0.06,0.01
34,0.0,0.08,0.28,0.4,0.18,0.05,0.01
35,0.05,0.13,0.25,0.27,0.19,0.1,0.02
36,0.01,0.12,0.32,0.3,0.18,0.06,0.01
37,0.01,0.1,0.26,0.32,0.21,0.09,0.01
38,0.0,0.05,0.19,0.33,0.27,0.13,0.03
39,0.01,0.06,0.17,0.27,0.27,0.18,0.05
40,0.0,0.07,0.26,0.35,0.22,0.09,0.01
41,0.0,0.02,0.23,0.49,0.2,0.05,0.01
42,0.0,0.14,0.35,0.33,0.14,0.04,0.0
43,0.0,0.05,0.16,0.23,0.24,0.22,0.1
44,0.0,0.05,0.21,0.31,0.24,0.15,0.04
45,0.01,0.06,0.26,0.36,0.21,0.08,0.01
46,0.0,0.08,0.25,0.3,0.21,0.13,0.03
47,0.0,0.04,0.22,0.38,0.25,0.09,0.01
48,0.0,0.05,0.25,0.38,0.23,0.08,0.01
49,0.01,0.11,0.31,0.33,0.18,0.05,0.01
50,0.01,0.16,0.38,0.31,0.11,0.03,0.01
51,0.0,0.04,0.24,0.37,0.24,0.09,0.01
52,0.0,0.06,0.26,0.36,0.23,0.07,0.01
53,0.02,0.19,0.3,0.27,0.15,0.06,0.02
54,0.05,0.14,0.31,0.29,0.15,0.04,0.01
55,0.0,0.05,0.34,0.43,0.15,0.03,0.0
56,0.01,0.18,0.31,0.3,0.15,0.04,0.01
57,0.0,0.06,0.3,0.39,0.2,0.06,0.01
58,0.0,0.01,0.14,0.37,0.33,0.14,0.02
59,0.0,0.03,0.26,0.41,0.23,0.07,0.01
60,0.0,0.02,0.11,0.29,0.35,0.19,0.03
61,0.0,0.03,0.15,0.32,0.32,0.16,0.02
62,0.0,0.07,0.28,0.36,0.21,0.07,0.01
63,0.0,0.04,0.22,0.35,0.24,0.12,0.03
64,0.0,0.06,0.28,0.37,0.21,0.07,0.01
65,0.0,0.02,0.13,0.35,0.32,0.15,0.03
66,0.0,0.07,0.27,0.35,0.22,0.08,0.01
67,0.0,0.01,0.04,0.14,0.27,0.37,0.18
68,0.0,0.07,0.32,0.36,0.19,0.06,0.01
69,0.0,0.04,0.18,0.3,0.28,0.17,0.03
70,0.0,0.05,0.29,0.4,0.2,0.05,0.0
71,0.0,0.03,0.23,0.39,0.24,0.09,0.02
72,0.0,0.05,0.24,0.38,0.23,0.08,0.01
73,0.01,0.12,0.34,0.32,0.16,0.05,0.01
74,0.01,0.08,0.29,0.36,0.19,0.06,0.01
75,0.0,0.07,0.18,0.2,0.15,0.16,0.23
76,0.0,0.03,0.23,0.44,0.24,0.06,0.0
77,0.0,0.05,0.23,0.35,0.25,0.11,0.02
78,0.0,0.02,0.13,0.25,0.28,0.21,0.11
79,0.0,0.04,0.28,0.38,0.21,0.08,0.01
80,0.0,0.03,0.12,0.29,0.33,0.2,0.03
81,0.0,0.02,0.13,0.32,0.32,0.17,0.04
82,0.0,0.02,0.15,0.35,0.31,0.14,0.02
83,0.0,0.02,0.11,0.23,0.29,0.24,0.11
84,0.01,0.1,0.38,0.34,0.13,0.03,0.0
85,0.0,0.09,0.3,0.35,0.19,0.06,0.01
86,0.0,0.03,0.17,0.35,0.28,0.13,0.03
87,0.01,0.1,0.3,0.33,0.18,0.08,0.02
88,0.0,0.06,0.28,0.4,0.2,0.05,0.01
89,0.0,0.04,0.16,0.34,0.31,0.12,0.01
90,0.0,0.08,0.31,0.35,0.2,0.06,0.01
